name,classification,frequency_female,frequency_male,frequency_total,ratio,names
ADENISIA,F,978,0,978,1.0,|ABENIZIA|ADENISIA|ADENIZIA|
ABENONE,M,0,23,23,1.0,|ABENONE|
ADENOR,M,0,2454,2454,1.0,|ABENOR|ADENO|ADENOR|
ADERALDO,M,0,4190,4190,1.0,|ABERALDO|ABEROALDO|ADERALDO|ADERILDO|ADEROALDO|
ADERCIO,M,0,696,696,1.0,|ABERCIO|ADAERCIO|ADERCIO|
ABERLADO,M,0,694,694,1.0,|ABERLADO|
ADERLAN,M,20,1212,1232,0.9837662337662337,|ABERLAN|ADERLAM|ADERLAN|
ADERLANDIA,F,217,0,217,1.0,|ABERLANDIA|ADERLANDIA|
ABERLARDO,M,0,235,235,1.0,|ABERLARDO|
ADERLINDO,M,0,103,103,1.0,|ABERLINDO|ADERLINDO|
ADERSON,M,22,5760,5782,0.9961950882047734,|ABERSON|ADERSOM|ADERSON|HADERSON|
ADERVAL,M,0,1924,1924,1.0,|ABERVAL|ADERVAL|
ADES,M,29,82,111,0.7387387387387387,|ABES|ADES|HADES|
ADETINO,M,0,202,202,1.0,|ABETINO|ADETINO|
ADEVALDO,M,0,6386,6386,1.0,|ABEVALDO|ADEVALDO|
ABGAIL,F,3545,151,3696,0.9591450216450217,|ABGAIL|ADJAEL|
ADJAIR,M,253,896,1149,0.7798085291557877,|ABGAIR|ADGAIR|ADJAIR|
ABNER,M,359,13774,14133,0.9745984575107903,|ABHNER|ABNE|ABNER|ABNNER|ADNE|ADNER|HABNER|
ADIR,M,4268,14627,18895,0.7741201376025404,|ABEIR|ABI|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY|
ADAIR,M,6033,29016,35049,0.8278695540528974,|ABIA|ADAHIR|ADAHYR|ADAI|ADAIR|ADAY|ADAYR|ADIA|HABIA|
ADIAN,M,28,93,121,0.768595041322314,|ABIAN|ADIAN|
ADIANA,F,1146,0,1146,1.0,|ABIANA|ADAINA|ADIANA|
ADIANE,F,807,0,807,1.0,|ABIANE|ADAINE|ADIANE|
ABIAS,M,224,864,1088,0.7941176470588235,|ABIAS|ADAIS|ADIAS|
ABIATAR,M,0,98,98,1.0,|ABIATA|ABIATAR|
ADIB,M,0,670,670,1.0,|ABIB|ADIB|HABIB|
ABIDA,F,212,0,212,1.0,|ABIDA|ADEIDA|ADIBA|
ABIDAN,M,0,22,22,1.0,|ABIDAN|
ABIDAO,M,0,90,90,1.0,|ABIDAO|
ABIDENOR,M,0,24,24,1.0,|ABIDENOR|
ABIDERMAN,M,0,40,40,1.0,|ABIDERMAN|
ABIDIAS,M,0,2334,2334,1.0,|ABIDIAS|
ABIDIEL,M,0,509,509,1.0,|ABIDAL|ABIDEL|ABIDIEL|
ABIDON,M,0,414,414,1.0,|ABIDOM|ABIDON|
ABIDORAL,M,0,332,332,1.0,|ABIDORAL|
ABIEZER,M,0,208,208,1.0,|ABIESER|ABIEZER|
ABIGAIL,F,10266,217,10483,0.9792998187541734,|ABIGAEL|ABIGAIL|ABIGAL|ABIGUAIL|HABIGAIL|
ABIGAIR,F,349,78,427,0.8173302107728337,|ABIGAI|ABIGAIR|ADIJAIR|
ABIGAIU,F,615,0,615,1.0,|ABIGAIU|
ADELANE,F,1572,42,1614,0.9739776951672863,|ABILANE|ADAILANE|ADEILANE|ADELANE|ADILANE|ADLANE|
ADEILDE,F,2516,316,2832,0.8884180790960452,|ABILDE|ADAILDE|ADALBER|ADEILDE|ADILDE|
ADLER,M,1335,1360,2695,0.5046382189239332,|ABELE|ABILE|ADAILE|ADELE|ADELER|ADIELE|ADILE|ADILER|ADLE|ADLER|HADLER|
ADILENE,F,3975,21,3996,0.9947447447447447,|ABILENE|ABLENE|ADALENE|ADELENE|ADILENE|ADLENE|
ADELAINE,F,3917,27,3944,0.9931541582150102,|ABILIANE|ADALIANE|ADELAINE|ADELAYNE|ADELIANE|ADILAINE|ADILIANE|ADLAINE|
ABIMAEL,M,67,7731,7798,0.9914080533470121,|ABIMAEL|ABIMAIL|ABIMAL|ABIMEL|ABYMAEL|ADIMAEL|
ABIMAELE,F,21,0,21,1.0,|ABIMAELE|
ADIMAR,M,610,1656,2266,0.7308031774051191,|ABIMAR|ADIMA|ADIMAR|
ABIMELEQUE,M,0,36,36,1.0,|ABIMELEQUE|
ADINA,F,2623,158,2781,0.9431859043509528,|ABINA|ADEINA|ADINA|ADINAR|ADYNA|
ABINADA,M,0,22,22,1.0,|ABINADA|
ABINADAB,M,0,82,82,1.0,|ABINADAB|
ABINADABE,M,47,371,418,0.8875598086124402,|ABINADABE|
ABINADABI,M,0,84,84,1.0,|ABINADABI|
ADINAEL,M,0,1857,1857,1.0,|ABINAEL|ABINAL|ABINEL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL|
ADINAIR,F,332,28,360,0.9222222222222223,|ABINAIR|ADINAI|ADINAIR|
ADINALDO,M,0,2081,2081,1.0,|ABINALDO|ADINAILDO|ADINALDO|ADINILDO|
ABINER,M,250,1332,1582,0.8419721871049305,|ABINE|ABINER|ABYNER|ADEINE|ADINE|ADINER|HABINER|
ABINOA,F,44,33,77,0.5714285714285714,|ABINOA|
ABINOAN,M,143,147,290,0.506896551724138,|ABINOAM|ABINOAN|ADINOAN|
ADIO,M,0,184,184,1.0,|ABIO|ADIO|
ABIQUEILA,F,186,0,186,1.0,|ABIQUEILA|
ADIRACI,F,47,0,47,1.0,|ABIRACI|ADIRACI|
ADIRAN,M,0,96,96,1.0,|ABIRAN|ADIRAN|
ABISAEL,M,0,114,114,1.0,|ABISAEL|ABIZAEL|ADISOL|
ABISAGUE,F,67,0,67,1.0,|ABISAGUE|ABIZAGUE|
ABISAI,M,63,151,214,0.705607476635514,|ABISAI|ABISAIR|ABIZAI|ABIZAIR|ADISIA|ADIZIA|
ABISALAO,M,0,80,80,1.0,|ABISALAO|
ABISMAEL,M,0,76,76,1.0,|ABISMAEL|
ADISON,M,28,6057,6085,0.9953985209531635,|ABISON|ADEISOM|ADEISON|ADISOM|ADISON|ADIZON|ADYSON|HADISON|
ABISSALAO,M,0,25,25,1.0,|ABISSALAO|
ABIUDE,F,87,62,149,0.5838926174496645,|ABIUDE|ADEIUDE|
ABKEILA,F,40,0,40,1.0,|ABKEILA|
ABMAEL,M,0,3308,3308,1.0,|ABMAEL|ADMAEL|ADMIL|
ADMAR,M,1795,2579,4374,0.5896204846822131,|ABMAR|ADHMAR|ADMA|ADMAR|
ADMARIO,M,0,237,237,1.0,|ABMARIO|ADMARIO|
ADNA,F,7069,122,7191,0.9830343484911696,|ABNA|ADNA|ADNAR|ADNNA|HADNA|
ABNADAB,M,0,67,67,1.0,|ABNADAB|
ABNADABE,M,0,151,151,1.0,|ABNADABE|
ADNAEL,M,31,1020,1051,0.9705042816365367,|ABNAEL|ABNEL|ABNOEL|ADNAEL|ADNEL|ADNIL|ADNOEL|
ADNEI,M,304,956,1260,0.7587301587301587,|ABNEI|ABNI|ABNIR|ADNEI|ADNEY|ADNI|ADNIR|ADNY|
ADNALDO,M,0,1789,1789,1.0,|ABNALDO|ABNILDO|ADNAILDO|ADNALDO|ADNILDO|
ABNOAN,F,127,94,221,0.5746606334841629,|ABNOAM|ABNOAN|
ADRA,M,141,228,369,0.6178861788617886,|ABRAA|ADRA|
ABRAHAM,M,0,670,670,1.0,|ABRAAM|ABRAAN|ABRAHAM|ABRAHAN|ABRAM|ABRAN|ADRAN|
ABRAAO,M,171,32125,32296,0.9947052266534555,|AABRAO|ABRAAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO|
ADRIAN,M,1974,32733,34707,0.9431238655026364,|ABRAHIM|ABRAIM|ABRAIN|ADRIAM|ADRIAN|ADRIANN|ADRYAM|ADRYAN|ADRYANN|HADRIAN|HADRYAN|
ABRAMO,M,0,141,141,1.0,|ABRAMO|
ABRANTES,M,0,31,31,1.0,|ABRANTES|
ADRELINA,F,740,0,740,1.0,|ABRELINA|ABRILINA|ADRELINA|
ABRELINO,M,0,1091,1091,1.0,|ABRELINO|ABRILINO|ADRELINO|
ABREU,M,27,262,289,0.9065743944636678,|ABREU|
ABSAEL,M,0,27,27,1.0,|ABSAEL|ABSAIL|
ABSAIR,M,0,181,181,1.0,|ABSAI|ABSAIR|
ABSALAO,M,0,425,425,1.0,|ABSALAO|
ABSOLON,M,0,292,292,1.0,|ABSALON|ABSOLOM|ABSOLON|
ADSON,M,70,13366,13436,0.9947901161059839,|ABSON|ADSOM|ADSON|ADZON|HADSON|
ABUD,M,0,31,31,1.0,|ABUD|
ACACIA,F,2688,0,2688,1.0,|ACACIA|AKACIA|
ACACIO,M,33,8172,8205,0.9959780621572212,|ACACIO|AKACIO|
ACADIO,M,0,38,38,1.0,|ACADIO|
ACAIO,M,0,48,48,1.0,|ACAIO|
ACARCIO,M,0,20,20,1.0,|ACARCIO|
ACARI,M,0,122,122,1.0,|ACARI|ACARY|
ACASIO,M,0,1367,1367,1.0,|ACASIO|AKASIO|
ACASSIA,F,1305,0,1305,1.0,|ACASSIA|AKASSIA|
ACASSIANO,M,0,32,32,1.0,|ACASSIANO|
ACASSIO,M,20,4185,4205,0.995243757431629,|ACASSIO|AKASSIO|
ACATIA,F,71,0,71,1.0,|ACATIA|AKATIA|
ACAUA,M,0,273,273,1.0,|ACAUA|AKAUA|
ACAUAN,M,0,169,169,1.0,|ACAUAN|AKAUAN|
ACAZ,M,0,50,50,1.0,|ACAZ|
ACCACIO,M,0,95,95,1.0,|ACCACIO|
ACEBIAS,M,0,51,51,1.0,|ACEBIAS|
ACEDINA,F,84,0,84,1.0,|ACEDINA|
ACEDIR,M,0,61,61,1.0,|ACEDIR|
ACIR,M,477,5496,5973,0.9201406328478152,|ACEIR|ACI|ACIR|ACY|ACYR|AKI|
ACIEL,M,0,296,296,1.0,|ACEL|ACIEL|ACIL|ACIOL|AKEL|AKIL|
AKILA,F,1252,320,1572,0.7964376590330788,|ACELA|ACILA|ACLA|AKILA|AKLA|AKUILA|AKYLA|HAKILA|
ACIOLI,F,349,328,677,0.5155096011816839,|ACELI|ACELIR|ACELY|ACEOLI|ACIELI|ACIOLI|ACIOLY|ACLEI|AKELI|
ACELIA,F,563,78,641,0.8783151326053042,|ACELIA|ACILIA|ACLAIR|
ACELINA,F,1083,0,1083,1.0,|ACELINA|ACILINA|ACIOLINA|
AKELINE,F,73,0,73,1.0,|ACELINE|AKELINE|
ACELINO,M,0,2873,2873,1.0,|ACELINO|ACILINO|ACIOLINO|ACYLINO|
ACELIO,M,0,821,821,1.0,|ACELIO|ACILIO|
ACELMO,M,0,325,325,1.0,|ACELMO|
ACILON,M,0,495,495,1.0,|ACELON|ACILOM|ACILON|
ACELSO,M,0,22,22,1.0,|ACELSO|
ACEMAR,M,0,149,149,1.0,|ACEMAR|
AKEMI,F,1095,124,1219,0.8982772764561116,|ACEMIR|AKEMI|AKEMY|
ACENATE,F,36,0,36,1.0,|ACENATE|
ACENDINA,F,91,0,91,1.0,|ACENDINA|
ACENDINO,M,0,400,400,1.0,|ACENDINO|
ACENIR,M,135,154,289,0.532871972318339,|ACENI|ACENIR|AKENI|
ACENIL,M,0,29,29,1.0,|ACENIL|
ACENILDA,F,66,0,66,1.0,|ACENILDA|
ACENILDE,F,28,0,28,1.0,|ACENILDE|
ACENILDO,M,0,176,176,1.0,|ACENILDO|
ACENILTON,M,0,27,27,1.0,|ACENILTON|
ACENO,M,0,197,197,1.0,|ACENO|ACENOR|
ACER,M,0,38,38,1.0,|ACER|
ACETIDES,M,0,53,53,1.0,|ACETIDES|
ACHILA,F,134,0,134,1.0,|ACHILA|ASHILA|
ACHILES,M,0,560,560,1.0,|ACHILES|
ASHLEY,F,3806,93,3899,0.9761477301872274,|ACHELEY|ACHILEI|ACHILEY|ACHLEY|ASHALEY|ASHELEI|ASHELEY|ASHELY|ASHILEI|ASHILEY|ASHILY|ASHLEI|ASHLEY|ASHLY|ASHYLEI|ASHYLEY|
ACHILIS,M,0,36,36,1.0,|ACHILIS|
ACHILLE,M,0,37,37,1.0,|ACHILLE|
ACHILLES,M,0,294,294,1.0,|ACHILLES|ACHYLLES|
ACIARA,F,56,0,56,1.0,|ACIARA|
ACIDALHA,F,27,0,27,1.0,|ACIDALHA|
ACIDALIA,F,575,0,575,1.0,|ACIDALIA|ACIDELIA|
ACIDE,M,0,35,35,1.0,|ACIDE|
ACIDINO,M,0,66,66,1.0,|ACIDINO|
ACIDIO,M,0,109,109,1.0,|ACIDIO|
ACIOLE,M,48,174,222,0.7837837837837838,|ACIELE|ACIOLE|
ACIENE,F,41,0,41,1.0,|ACIENE|
ACILANE,F,24,0,24,1.0,|ACILANE|
ACILDA,F,289,0,289,1.0,|ACILDA|
ACILDO,M,0,239,239,1.0,|ACILDO|
ACILEA,F,27,0,27,1.0,|ACILEA|
ACILEIA,F,176,0,176,1.0,|ACILEIA|ACLEIA|
ACILENE,F,388,0,388,1.0,|ACILENE|
ACILO,M,0,36,36,1.0,|ACILO|
ACIMAR,M,33,297,330,0.9,|ACIMA|ACIMAR|
ACINDINO,M,0,121,121,1.0,|ACINDINO|
ACINEIDE,F,33,0,33,1.0,|ACINEIDE|
ACINELSON,M,0,21,21,1.0,|ACINELSON|
ACINETE,F,39,0,39,1.0,|ACINETE|
ACINTIA,F,26,0,26,1.0,|ACINTIA|
AKIO,M,23,530,553,0.9584086799276673,|ACIO|AKIO|AKIYO|
ACIOMAR,M,0,60,60,1.0,|ACIOMAR|
ACIONE,F,255,156,411,0.6204379562043796,|ACIONE|
ACIONEIDE,F,42,0,42,1.0,|ACIONEIDE|
ACIONI,F,67,47,114,0.5877192982456141,|ACIONEI|ACIONI|ACIONIR|
ACIREMA,F,58,0,58,1.0,|ACIREMA|
ACIRENE,F,48,0,48,1.0,|ACIRENE|
AKIRES,M,21,41,62,0.6612903225806451,|ACIRES|AKIRES|
ACIRIA,F,87,0,87,1.0,|ACIRIA|AKIRIA|
ACIRIO,M,0,47,47,1.0,|ACIRIO|
ACIRLENE,F,35,0,35,1.0,|ACIRLENE|
AKISA,F,106,0,106,1.0,|ACISA|AKISA|AKIZA|
ACISIO,M,0,78,78,1.0,|ACISIO|
ACIVAL,M,0,80,80,1.0,|ACIVAL|
ACIVALDO,M,0,152,152,1.0,|ACIVALDO|
ACKSON,M,0,167,167,1.0,|ACKSON|
ACLECIA,F,280,0,280,1.0,|ACLECIA|
ACLECIANA,F,34,0,34,1.0,|ACLECIANA|
ACLECIANE,F,32,0,32,1.0,|ACLECIANE|
ACLECIANO,M,0,40,40,1.0,|ACLECIANO|
ACLECIO,M,0,566,566,1.0,|ACLECIO|
ACLEDISON,M,0,21,21,1.0,|ACLEDISON|
ACLEDSON,M,0,41,41,1.0,|ACLEDSON|
ACILEIDE,F,144,0,144,1.0,|ACILEIDE|ACLEIDE|
ACLAILTON,M,0,55,55,1.0,|ACLAILTON|ACLEILTON|
ACLEITON,M,0,43,43,1.0,|ACLEITON|
AKILES,M,0,331,331,1.0,|ACLES|AKILES|
ACLESIA,F,97,0,97,1.0,|ACLESIA|
ACLESIO,M,0,221,221,1.0,|ACLESIO|ACLEZIO|
ACLIDES,M,0,24,24,1.0,|ACLIDES|
ACLIMAR,M,0,20,20,1.0,|ACLIMAR|
ACLINIO,M,0,31,31,1.0,|ACLINIO|
AKILIS,M,0,123,123,1.0,|ACLIS|AKILIS|
ACLISIO,M,0,81,81,1.0,|ACLISIO|
ACRESIO,M,0,29,29,1.0,|ACRESIO|
ACRICIA,F,48,0,48,1.0,|ACRICIA|
ACRICIO,M,0,69,69,1.0,|ACRICIO|
ACRINALDO,M,0,20,20,1.0,|ACRINALDO|
ACRISIA,F,36,0,36,1.0,|ACRISIA|
ACRISIO,M,0,1680,1680,1.0,|ACRISIO|ACRIZIO|
ACSA,F,2064,21,2085,0.9899280575539569,|ACSA|ACZA|AKSA|AKZA|
ACSEL,M,0,66,66,1.0,|ACSEL|AKSEL|
ACSIA,F,31,0,31,1.0,|ACSIA|
AKSON,M,0,485,485,1.0,|ACSON|AKSON|
ACSSA,F,96,0,96,1.0,|ACSSA|AKSSA|
ACTON,M,0,35,35,1.0,|ACTON|
ACUCENA,F,490,0,490,1.0,|ACUCENA|
ACURCIO,M,0,37,37,1.0,|ACURCIO|
ABADIL,M,0,133,133,1.0,|ABADIL|ADABEL|
ADACIR,F,406,392,798,0.5087719298245614,|ADACI|ADACIR|ADACY|
ADACIA,F,293,0,293,1.0,|ADACIA|HADACIA|
ADACIL,M,0,48,48,1.0,|ADACIEL|ADACIL|
ADACILDA,F,21,0,21,1.0,|ADACILDA|
ADACILDO,M,0,28,28,1.0,|ADACILDO|
ADACIO,M,0,62,62,1.0,|ADACIO|
ADADILSON,M,0,22,22,1.0,|ADADILSON|
ADAGIL,M,0,25,25,1.0,|ADAGIL|
ADAGILDA,F,37,0,37,1.0,|ADAGILDA|
ADAGILSA,F,657,0,657,1.0,|ADAGILSA|ADAGILZA|ADAJILSA|ADAJILZA|
ADAGILSO,M,0,71,71,1.0,|ADAGILSO|ADAGILZO|
ADAGILSON,M,0,363,363,1.0,|ADAGILSON|ADAJILSON|
ADAGIR,M,0,66,66,1.0,|ADAGIR|
ADAGMAR,F,191,36,227,0.8414096916299559,|ADAGMAR|
ADAGOBERTO,M,0,93,93,1.0,|ADAGOBERTO|
ADAGUIMAR,F,36,0,36,1.0,|ADAGUIMAR|
ADAIA,F,34,0,34,1.0,|ADAIA|
ADAIANA,F,473,0,473,1.0,|ADAIANA|ADAYANA|
ADAIANE,F,1076,0,1076,1.0,|ADAIANE|ADAYANE|
ADAIAS,M,99,1366,1465,0.9324232081911262,|ADAIAS|
ADAIDE,F,279,177,456,0.6118421052631579,|ADAIDE|
ADAIDES,F,94,93,187,0.5026737967914439,|ADAIDES|
ADAIDO,M,0,99,99,1.0,|ADAIDO|
ADAIENE,F,23,0,23,1.0,|ADAIENE|
ADILCE,F,835,50,885,0.943502824858757,|ADAILCE|ADEILCE|ADELCE|ADILCE|ADULCE|
ADEILDA,F,6150,65,6215,0.9895414320193081,|ADAILDA|ADEILDA|ADELBA|ADELBAR|ADILDA|
ADEILDES,F,1135,111,1246,0.9109149277688604,|ABILDES|ADAILDES|ADEILDES|
ADEILZA,F,7781,0,7781,1.0,|ADAILSA|ADAILZA|ADEILSA|ADEILZA|ADELSA|ADELZA|ADILSA|ADILZA|
ADILSE,F,485,0,485,1.0,|ADAILSE|ADAILZE|ADEILSE|ADEILZE|ADILSE|ADILZE|
ADELSO,M,0,7440,7440,1.0,|ADAELSO|ADAILSO|ADAILZO|ADALSO|ADEILSO|ADEILZO|ADELSO|ADELZO|ADIELSO|ADILSO|
ADALTA,F,682,0,682,1.0,|ADAILTA|ADALTA|ADEILTA|ADELTA|ADILTA|
